311,SITUATION,2020-08-20 10:12,16346 (▲288),307 (▲1),1734083 (▲19019),34998 (▲3976),http://coronafact.org,2020-08-20 오전 10:51:02
310,SITUATION,2020-08-19 10:12,16058 (▲297),306 (▲0),1715064 (▲18022),31022 (▲5803),http://coronafact.org,2020-08-19 오후 1:51:02
309,SITUATION,2020-08-18 10:12,15761 (▲246),306 (▲1),1697042 (▲8572),25219 (▲2255),http://coronafact.org,2020-08-18 오후 12:51:02
308,SITUATION,2020-08-17 10:12,15515 (▲197),305 (▲0),1688470 (▲6683),22964 (▲959),http://coronafact.org,2020-08-17 오전 10:51:02
307,SITUATION,2020-08-16 10:12,15318 (▲279),305 (▲0),1681787 (▲6491),22005 (▲387),http://coronafact.org,2020-08-16 오전 10:51:01
306,SITUATION,2020-08-15 10:12,15039 (▲166),305 (▲0),1675296 (▲10212),21618 (▲1486),http://coronafact.org,2020-08-15 오전 9:51:02
305,SITUATION,2020-08-14 10:12,14873 (▲103),305 (▲0),1665084 (▲10186),20132 (▲2334),http://coronafact.org,2020-08-14 오전 10:51:02
304,SITUATION,2020-08-13 10:12,14770 (▲56),305 (▲0),1654898 (▲8246),17798 (▲423),http://coronafact.org,2020-08-13 오후 12:51:02
303,SITUATION,2020-08-12 10:12,14714 (▲54),305 (▲0),1646652 (▲8808),17375 (▼114),http://coronafact.org,2020-08-12 오후 12:51:02
302,SITUATION,2020-08-10 10:12,14626 (▲28),305 (▲0),1628303 (▲3653),16396 (▼407),http://coronafact.org,2020-08-10 오전 10:51:02
301,SITUATION,2020-08-09 10:12,14519 (▲20),303 (▲1),1613652 (▲7165),17068 (▼963),http://coronafact.org,2020-08-09 오전 10:51:02
300,SITUATION,2020-08-07 10:12,14519 (▲20),303 (▲1),1613652 (▲7165),17068 (▼963),http://coronafact.org,2020-08-07 오전 10:51:02
299,SITUATION,2020-08-06 10:12,14456 (▲43),302 (▲0),1606487 (▲8300),18031 (▼459),http://coronafact.org,2020-08-06 오후 4:00:08
298,SITUATION,2020-08-05 10:12,14456 (▲33),302 (▲1),1598187 (▲8407),18490 (▼234),http://coronafact.org,2020-08-05 오전 11:51:02
297,SITUATION,2020-08-04 10:12,14423 (▲34),301 (▲0),1589780 (▲10023),18724 (▲1323),http://coronafact.org,2020-08-04 오전 10:51:02
296,SITUATION,2020-08-03 10:12,14389 (▲23),301 (▲0),1579757 (▲3511),17401 (▼367),http://coronafact.org,2020-08-03 오후 3:51:02
295,SITUATION,2020-08-01 10:12,14336 (▲31),301 (▲0),1571830 (▲8034),18278 (▼52),http://coronafact.org,2020-08-01 오전 11:51:02
294,SITUATION,2020-07-31 10:12,14305 (▲36),301 (▲1),1563796 (▲7581),18330 (▼688),http://coronafact.org,2020-07-31 오전 11:00:06
293,SITUATION,2020-07-30 10:12,14269 (▲18),300 (▲0),1556215 (▲8908),19018 (▼308),http://coronafact.org,2020-07-30 오전 11:00:04
292,SITUATION,2020-07-29 10:12,14251 (▲48),300 (▲0),1547307 (▲9603),19326 (▼1118),http://coronafact.org,2020-07-29 오후 6:00:05
291,SITUATION,2020-07-28 10:12,14203 (▲28),300 (▲1),1537704 (▲10730),20444 (▲1674),http://coronafact.org,2020-07-28 오전 11:00:04
290,SITUATION,2020-07-27 11:12,14175 (▲25),299 (▲1),1526974 (▲4048),18770 (▼444),http://coronafact.org,2020-07-27 오후 4:00:04
289,SITUATION,2020-07-26 11:12,14150 (▲58),298 (▲0),1522926 (▲4292),19214 (▼467),http://coronafact.org,2020-07-26 오후 12:00:04
288,SITUATION,2020-07-25 13:12,14092 (▲113),298 (▲0),1518634 (▲8307),19681 (▼878),http://coronafact.org,2020-07-25 오후 7:00:04
287,SITUATION,2020-07-24 10:12,13979 (▲41),298 (▲1),1510327 (▲9437),20559 (▼859),http://coronafact.org,2020-07-24 오후 6:00:04
286,SITUATION,2020-07-23 10:12,13938 (▲59),297 (▲0),1500854 (▲8783),21418 (▼333),http://coronafact.org,2020-07-23 오전 11:00:04
285,SITUATION,2020-07-22 10:12,13879 (▲63),297 (▲1),1492071 (▲9681),21751 (▼2113),http://coronafact.org,2020-07-22 오후 2:00:04
284,SITUATION,2020-07-21 10:12,13816 (▲45),296 (▲0),1482390 (▲12197),23864 (▲2562),http://coronafact.org,2020-07-21 오후 12:00:05
283,SITUATION,2020-07-20 10:12,13771 (▲26),296 (▲1),1470193 (▲4894),21302 (▼651),http://coronafact.org,2020-07-20 오전 11:00:04
282,SITUATION,2020-07-19 10:12,13745 (▲34),295 (▲1),1465299 (▲5095),21953 (▼970),http://coronafact.org,2020-07-19 오후 12:00:04
281,SITUATION,2020-07-17 10:12,13672 (▲60),293 (▲2),1451017 (▲9669),23110 (▼294),http://coronafact.org,2020-07-17 오전 11:00:04
280,SITUATION,2020-07-16 10:12,13612 (▲61),291 (▲2),1441348 (▲10032),23404 (▲107),http://coronafact.org,2020-07-16 오후 12:00:04
279,SITUATION,2020-07-15 10:12,13551 (▲39),289 (▲0),1431316 (▲10700),23297 (▼992),http://coronafact.org,2020-07-15 오후 12:00:04
278,SITUATION,2020-07-14 10:12,13512 (▲33),289 (▲0),1420616 (▲12304),24289 (▲2444),http://coronafact.org,2020-07-14 오후 12:00:04
277,SITUATION,2020-07-13 10:12,13479 (▲62),289 (▲0),1408312 (▲6168),21845 (▲15),http://coronafact.org,2020-07-13 오후 1:00:07
276,SITUATION,2020-07-12 10:12,13417 (▲44),289 (▲1),1402144 (▲5203),21830 (▼1120),http://coronafact.org,2020-07-12 오전 11:00:04
275,SITUATION,2020-07-11 10:12,13373 (▲35),288 (▲0),1396941 (▲12051),22950 (▼577),http://coronafact.org,2020-07-11 오후 12:00:04
274,SITUATION,2020-07-10 10:12,13338 (▲45),288 (▲1),1384890 (▲13119),23527 (▼385),http://coronafact.org,2020-07-10 오전 11:00:04
273,SITUATION,2020-07-09 10:12,13293 (▲50),287 (▲2),1371771 (▲12037),23912 (▼100),http://coronafact.org,2020-07-09 오전 11:00:04
272,SITUATION,2020-07-08 10:12,13244 (▲63),285 (▲0),1359735 (▲13541),24012 (▲337),http://coronafact.org,2020-07-08 오후 12:00:05
271,SITUATION,2020-07-07 10:12,13181 (▲44),285 (▲1),1346194 (▲14398),23675 (▲2383),http://coronafact.org,2020-07-07 오전 11:00:04
270,SITUATION,2020-07-06 10:12,13137 (▲48),284 (▲1),1331796 (▲5741),21292 (▼357),http://coronafact.org,2020-07-06 오전 11:00:03
269,SITUATION,2020-07-05 10:12,13091 (▲61),283 (▲0),1326055 (▲6532),21649 (▼672),http://coronafact.org,2020-07-05 오전 11:00:03
268,SITUATION,2020-07-04 10:12,13030 (▲63),3 (▲1),1319523 (▲11762),22321 (▲761),http://coronafact.org,2020-07-04 오전 11:00:03
267,SITUATION,2020-07-03 10:12,12967 (▲63),282 (▲0),1307761 (▲11799),21560 (▲1778),http://coronafact.org,2020-07-03 오후 12:00:04
266,SITUATION,2020-07-02 10:12,12904 (▲54),282 (▲0),1295962 (▲10731),19782 (▲256),http://coronafact.org,2020-07-02 오후 12:00:04
265,SITUATION,2020-07-01 10:12,12850 (▲51),282 (▲0),1285231 (▲11466),19526 (▼1283),http://coronafact.org,2020-07-01 오전 11:00:03
264,SITUATION,2020-06-30 10:12,12800 (▲43),282 (▲0),1273766 (▲13812),20809 (▲2310),http://coronafact.org,2020-06-30 오전 11:00:04
263,SITUATION,2020-06-29 10:12,12757 (▲42),282 (▲0),1259954 (▲8259),18499 (▼506),http://coronafact.org,2020-06-29 오후 12:00:05
262,SITUATION,2020-06-28 10:12,12715 (▲62),282 (▲0),1251695 (▲7915),19005 (▼861),http://coronafact.org,2020-06-28 오전 11:00:04
261,SITUATION,2020-06-27 11:12,12653 (▲51),282 (▲0),1243780 (▲11465),19866 (▲1038),http://coronafact.org,2020-06-27 오후 4:00:04
260,SITUATION,2020-06-26 11:12,12602 (▲39),282 (▲0),1232315 (▲11837),18828 (▼72),http://coronafact.org,2020-06-26 오후 1:00:04
259,SITUATION,2020-06-25 11:12,12563 (▲28),282 (▲1),1220478 (▲11881),18900 (▼1345),http://coronafact.org,2020-06-25 오전 11:00:04
258,SITUATION,2020-06-24 11:12,12535 (▲51),281 (▲0),1208597 (▲12585),20245 (▼2033),http://coronafact.org,2020-06-24 오후 1:00:04
257,SITUATION,2020-06-23 11:12,12484 (▲46),281 (▲1),1196012 (▲13946),22278 (▲2875),http://coronafact.org,2020-06-23 오후 12:00:04
256,SITUATION,2020-06-22 11:12,12438 (▲17),280 (▲0),1182066 (▲5603),19403 (▼668),http://coronafact.org,2020-06-22 오후 1:00:04
255,SITUATION,2020-06-21 10:12,12421 (▲48),280 (▲0),1176463 (▲5562),20071 (▼1399),http://coronafact.org,2020-06-21 오후 12:00:04
254,SITUATION,2020-06-20 10:12,12373 (▲67),280 (▲0),1170901 (▲12838),21470 (▲280),http://coronafact.org,2020-06-20 오전 11:00:04
253,SITUATION,2020-06-19 10:12,12351 (▲49),280 (▲0),1158063 (▲12351),21190 (▼524),http://coronafact.org,2020-06-19 오전 11:00:04
252,SITUATION,2020-06-18 10:12,12257 (▲59),280 (▲1),1145712 (▲12889),21714 (▲225),http://coronafact.org,2020-06-18 오후 12:00:05
251,SITUATION,2020-06-17 10:12,12198 (▲43),279 (▲1),1132823 (▲13056),21489 (▼1143),http://coronafact.org,2020-06-17 오후 1:00:05
250,SITUATION,2020-06-16 10:12,12155 (▲34),278 (▲1),1119767 (▲14048),22632 (▲1839),http://coronafact.org,2020-06-16 오후 2:00:04
249,SITUATION,2020-06-15 10:12,12121 (▲37),277 (▲0),1105719 (▲5392),20793 (▼563),http://coronafact.org,2020-06-15 오후 1:00:04
248,SITUATION,2020-06-14 10:12,12085 (▲34),277 (▲0),1100328 (▲5624),21356 (▼1996),http://coronafact.org,2020-06-14 오전 11:00:04
247,SITUATION,2020-06-13 10:12,12051 (▲49),277 (▲0),1094704 (▲13218),23352 (▼892),http://coronafact.org,2020-06-13 오전 11:00:04
246,SITUATION,2020-06-12 10:12,12003 (▲56),277 (▲1),1081487 (▲14599),24244 (▼1250),http://coronafact.org,2020-06-12 오전 11:00:04
245,SITUATION,2020-06-11 9:12,11902 (▲50),276 (▲2),1051972 (▲15975),26223 (▼1236),http://coronafact.org,2020-06-11 오전 10:00:04
244,SITUATION,2020-06-10 10:12,11902 (▲50),276 (▲2),1051972 (▲15975),26223 (▼1236),http://coronafact.org,2020-06-10 오후 2:00:04
243,SITUATION,2020-06-09 10:12,11852 (▲38),274 (▲1),1035997 (▲17783),27459 (▲3085),http://coronafact.org,2020-06-09 오전 11:00:04
242,SITUATION,2020-06-08 10:12,11814 (▲38),273 (▲0),1018214 (▲5445),24374 (▼2107),http://coronafact.org,2020-06-08 오전 11:00:04
241,SITUATION,2020-06-08 7:12,11776 (▲57),273 (▲0),1012769 (▲7464),26481 (▼1473),http://coronafact.org,2020-06-08 오전 8:00:04
240,SITUATION,2020-06-07 10:12,11776 (▲57),273 (▲0),1012769 (▲7464),26481 (▼1473),http://coronafact.org,2020-06-07 오전 11:00:04
239,SITUATION,2020-06-06 10:22,11719 (▲51),273 (▲0),1005305 (▲14345),27954 (▼812),http://coronafact.org,2020-06-06 오전 11:00:04
238,SITUATION,2020-06-05 10:22,11668 (▲39),273 (▲0),990960 (▲17102),28766 (▲567),http://coronafact.org,2020-06-05 오후 12:00:05
237,SITUATION,2020-06-04 10:22,11629 (▲39),273 (▲0),973858 (▲17006),28199 (▲334),http://coronafact.org,2020-06-04 오전 11:00:04
236,SITUATION,2020-06-03 10:22,11590 (▲49),273 (▲1),956852 (▲17001),27865 (▼1057),http://coronafact.org,2020-06-03 오후 12:00:04
235,SITUATION,2020-06-02 10:22,11541 (▲38),272 (▲1),939851 (▲18460),28922 (▲4864),http://coronafact.org,2020-06-02 오전 11:00:04
234,SITUATION,2020-06-01 10:22,11503 (▲35),271 (▲1),921391 (▲10569),24058 (▲764),http://coronafact.org,2020-06-01 오전 11:00:04
233,SITUATION,2020-05-31 10:22,11468 (▲27),270 (▲1),910822 (▲7921),23294 (▼3004),http://coronafact.org,2020-05-31 오후 12:00:04
232,SITUATION,2020-05-30 10:22,11441 (▲39),269 (▲0),902901 (▲17781),26298 (▲1741),http://coronafact.org,2020-05-30 오전 11:00:04
231,SITUATION,2020-05-30 8:22,11402 (▲58,269 (▲0),885120 (▲16454),24557 (▲2187),http://coronafact.org,2020-05-30 오전 9:00:03
230,SITUATION,2020-05-29 10:22,11402 (▲58,269 (▲0),885120 (▲16454),24557 (▲2187),http://coronafact.org,2020-05-29 오전 11:00:04
229,SITUATION,2020-05-28 11:15,11344 (▲79,269 (▲0),868666 (▲15790),22370 (▲1309),http://coronafact.org,2020-05-28 오후 12:00:05
228,SITUATION,2020-05-27 7:46,11225 (▲19,269 (▲2),839475 (▲13038),22044 (▲2955),http://coronafact.org,2020-05-27 오전 8:00:04
227,SITUATION,2020-05-26 10:15,11225 (▲19,269 (▲2),839475 (▲13038),22044 (▲2955),http://coronafact.org,2020-05-26 오후 12:00:05
226,SITUATION,2020-05-25 10:15,11206 (▲16,267 (▲1),826437 (▲6148),19089 (▼1244),http://coronafact.org,2020-05-25 오후 12:00:04
225,SITUATION,2020-05-24 10:15,11190 (▲25,266 (▲0),820289 (▲5869),20333 (▼1236),http://coronafact.org,2020-05-24 오전 11:00:04
224,SITUATION,2020-05-23 10:15,111 (▲23,266 (▲2),8 (▲1),21569 (▲1283pan>,,
                검사중,http://coronafact.org,2020-05-23 오후 12:00:05,,,,,,
223,SITUATION,2020-05-22 10:15,11142 (▲20,264 (▲0),802418 (▲13734),20286 (▲2197),http://coronafact.org,2020-05-22 오전 11:00:04
222,SITUATION,2020-05-21 10:15,11122 (▲12,264 (▲1),788684 (▲12251),18089 (▲1738),http://coronafact.org,2020-05-21 오전 11:00:04
221,SITUATION,2020-05-20 10:15,11110 (▲32,263 (▲0),776433 (▲10859),16351 (▼574),http://coronafact.org,2020-05-20 오전 11:00:05
220,SITUATION,2020-05-19 10:15,11078 (▲13,263 (▲0),765574 (▲12363),16925 (▲832),http://coronafact.org,2020-05-19 오전 11:00:04
219,SITUATION,2020-05-18 10:15,11065 (▲15,263 (▲1),753211 (▲5558),16093 (▼1567),http://coronafact.org,2020-05-18 오전 11:00:04
218,SITUATION,2020-05-17 10:15,11050 (▲13,262 (▲0),747653 (▲7008),17660 (▼683),http://coronafact.org,2020-05-17 오전 11:00:04
217,SITUATION,2020-05-16 10:15,11037 (▲19,262 (▲2),741145 (▲14398),18843 (▼1032),http://coronafact.org,2020-05-16 오전 11:00:04
216,SITUATION,2020-05-15 10:15,11018 (▲27,260 (▲0),726747 (▲15263),19875 (▼847),http://coronafact.org,2020-05-15 오전 11:00:04
215,SITUATION,2020-05-14 10:15,10991 (▲29,260 (▲1),711484 (▲15564),20722 (▲1143),http://coronafact.org,2020-05-14 오전 11:00:04
214,SITUATION,2020-05-14 9:15,10962 (▲26,259 (▲1),695920 (▲15030),19579 (▲3249),http://coronafact.org,2020-05-14 오전 10:00:04
213,SITUATION,2020-05-13 10:15,10962 (▲26,259 (▲1),695920 (▲15030),19579 (▲3249),http://coronafact.org,2020-05-13 오전 11:00:05
212,SITUATION,2020-05-12 10:15,10936 (▲27,258 (▲2),680890 (▲12398),16330 (▲5408),http://coronafact.org,2020-05-12 오전 11:00:04
